Domain,Category ,Definition ,Sub-category ,Definition ,Factor,Definition ,Source ,Type ,Qualitative,DHS,Pathways Survey,Second Domain ,Application (Geography),Alternative questions in DHS 7,Other Notes,Why does it impact vulnerability and overall health outcomes
,,,,,,,,,,,,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Composition and support,"The structure and composition of the woman's natal family which impacts the way she experiences economic, instrumental, emotional, and health knowledge support in her early days.",Birth order,"The position of the participant among their siblings, in the order they were born.",,Qualitative,FALSE,FALSE,TRUE,,,,,"Early family circumstances shape a woman’s social support, norms, and resources, influencing her long-term vulnerability and health-seeking patterns. "
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Composition and support,"The structure and composition of the woman's natal family which impacts the way she experiences economic, instrumental, emotional, and health knowledge support in her early days.",Number of siblings,The number of siblings the participant has,,Qualitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Composition and support,"The structure and composition of the woman's natal family which impacts the way she experiences economic, instrumental, emotional, and health knowledge support in her early days.",Orphan,The participant has lost both parents due to death,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Composition and support,"The structure and composition of the woman's natal family which impacts the way she experiences economic, instrumental, emotional, and health knowledge support in her early days.",Death of parents ,Participant's age at parent death,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Composition and support,"The structure and composition of the woman's natal family which impacts the way she experiences economic, instrumental, emotional, and health knowledge support in her early days.",Raised by ,The person who raised the participant ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Composition and support,"The structure and composition of the woman's natal family which impacts the way she experiences economic, instrumental, emotional, and health knowledge support in her early days.",Raised by single mother,"The participant was primarily raised by her biological mother, without the presence of the biological father",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Composition and support,"The structure and composition of the woman's natal family which impacts the way she experiences economic, instrumental, emotional, and health knowledge support in her early days.",Feeling of safety,The participant mostly or always felt safe at home during childhood,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Economic stressors,Material hardships experienced by the woman's natal family which have an early impact on her health. ,Missing meals as child,The participant regularly missed meals while growing up,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Economic stressors,Material hardships experienced by the woman's natal family which have an early impact on her health. ,Child labour,Any child under the age of 15 in the participant's natal family had to work because of money problems,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Economic stressors,Material hardships experienced by the woman's natal family which have an early impact on her health. ,School dropout,The participant or any child in their household had to drop out of school during childhood,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Economic stressors,Material hardships experienced by the woman's natal family which have an early impact on her health. ,Relocation as a child ,The participant had to relocate as a child due to money problems,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Economic stressors,Material hardships experienced by the woman's natal family which have an early impact on her health. ,Parent with chronic disease/disability,The participant had a parent who who was chronically ill while growing up,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Parental life trajectory ,The life paths and educational status of the woman's parents which shape her exposure to opportunities and support ,Father's highest education completed,The highest level of education of the participant's father ,Primary Survey,,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Parental life trajectory ,The life paths and educational status of the woman's parents which shape her exposure to opportunities and support ,Mother's highest education completed,The highest level of education of the participant's mother or guardian,Primary Survey,,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Natal family history ,"The woman’s early family environment, including composition, support structures, distress and parental characteristics that shaped her upbringing.",Natal family: Parental life trajectory ,The life paths and educational status of the woman's parents which shape her exposure to opportunities and support ,Parents' marriage type,The parents of the participant were in a polygamous marriage ,Primary Survey,,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",Educational exposure ,The extent of formal schooling received by a woman.,Education,The participant's education level,Survey and DHS,,FALSE,TRUE,TRUE,,,,,"Levels of educational and media exposure condition information and aspirations, shaping how health information is understood, trusted, and acted upon."
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",Media exposure ,The weekly expsoure a woman has to media of any kind. ,"Media exposure- Radio, TV, Nwespaper, Magazine, Internet","The frequency with which the participant listens to the radio, watches TV, reads newspapers or magazines or accesses the internet in a week. ",,,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",Digital Connectivity ,"Measures a woman’s access to and use of mobile technology and digital services. 

*Multiple additional factors around digital connectivity can be found in the Pathways survey ",Cell phone access,The participant owns a cell phone alone or has access to a phone,Primary Survey,Quantitative,FALSE,TRUE,TRUE,Human and Natural systems,,,,
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",Digital Connectivity ,"Measures a woman’s access to and use of mobile technology and digital services. 

*Multiple additional factors around digital connectivity can be found in the Pathways survey ",Type of phone ,The type of phone that the participant has access to ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",Digital Connectivity ,"Measures a woman’s access to and use of mobile technology and digital services. 

*Multiple additional factors around digital connectivity can be found in the Pathways survey ",Decision making around phone usage ,The participant is involved in the decisions on phone usage,Primary Survey,Quantitative,FALSE,FALSE,TRUE,Household Relationships,,,,
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",Digital Connectivity ,"Measures a woman’s access to and use of mobile technology and digital services. 

*Multiple additional factors around digital connectivity can be found in the Pathways survey ",Usage for voice calls ,The participant has made or received calls on this phone in the past month ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",Digital Connectivity ,"Measures a woman’s access to and use of mobile technology and digital services. 

*Multiple additional factors around digital connectivity can be found in the Pathways survey ",Usage for internet ,The participant has ever used the internet ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Exposure ,"The woman’s  interaction with education and information channels, indicating her access to knowledge and information  ",6,"Measures a woman’s access to and use of mobile technology and digital services. 

*Multiple additional factors around digital connectivity can be found in the Pathways survey ",Internet exposure ,The frequency the participant uses the internet,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Age ,The age of the participant ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,Biological and social positioning intreacts with dominant social norms and could create access and usage barriers to care.  
Women and her past experiences ,Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Religion,The participant's religion,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Caste,The participant's caste status,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,Regional (specific to India/South Asia) ,,,
Women and her past experiences ,Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",National ID ,The participant owns a national ID ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Ethnicity,The participant's ethnicity,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Demographic factors ,"Core identity markers such as age, marital status, religion, caste, and ethnicity that shape life stage, and lived experience.",Marital status,The participant's relationship status,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Age at first menstrual period,The participant's age at the onset of menstruation,,,FALSE,TRUE,TRUE,,,,,"The timing and sequencing of partnerships and reproductive events influence dependence, care continuity, and cumulative health risk over time."
